"word","definition","read"
"abet","help/encourage somebody (in doing wrong)","uhbet"
"abeyance","suspended action","uhbeyuhns"
"abhor","to hate; to detest","abhawr"
"abide","be faithful; to endure","uhbahyd"
"abjure","promise or swear to give up","abjoor"
"abraded","rubbed off; worn away by friction","uhbreyd"
"abrogate","repeal or annul by authority","abruhgeyt"
"abscond","to go away suddenly (to avoid arrest)","abskond"
"abstruse","difficult to comprehend; obscure","abstroos"
"abut","border on","uhbuht"
"abysmal","extreme bad","uhbizmuhl"
"acarpous","effete no longer fertile; worn out","eykahrpuhs"
"acclaimed","welcomed with shouts and approval","uhkleym"
"accolade","praise; approval","akuhleyd"
"accretion","the growing of separate things into one","uhkreeshuhn"
"accrue","accumulate","uhkroo"
"acumen","Keen, quick, accurate insight or judgment","uhkyoomuhn"
"adamant","kind of stone; inflexible","aduhmuhnt"
"admonitory","containing warning","admonitawree"
"adorn","add beauty; decorate","uhdawrn"
"adulteration","making unpure; poorer in quality","uhduhltuhreyshuhn"
"affable","polite and friendly","afuhbuhl"
"affinity","close connection; relationship","uhfinitee"
"aggravate","make worse; irritate","agruhveyt"
"agile","active; quick-moving","ajuhl"
"agog","eager/excited","uhgog"
"ail","to cause pain, uneasiness, or trouble to.","eyl"
"alacrity","eager and cheerful; readiness","uhlakritee"
"alcove","recess/partially enclosed place","alkohv"
"ale","fermented alcoholic beverage similar to but heavier than beer","eyl"
"aleck","one who considers himself smarter than others","alik"
"allegiance","duty support loyalty","uhleejuhns"
"alleviate","make (pain) easier to bear","uhleeveeeyt"
"alloy","to debase by mixing with something inferior","nounaloi"
"aloof","reserved; indifferent","uhloof"
"amalgamate","mix; combine; unite societies","uhmalguhmeyt"
"ambidextrous","able to use the left hand or the right equally well","ambidekstruhs"
"ambiguous","doubtful; uncertain","ambigyoouhs"
"ambivalent","having both of two contrary meanings","ambivuhluhnt"
"ambrosial","extremely pleasing to taste","ambrohzhuhl"
"ameliorate","improve; make better","uhmeelyuhreyt"
"amortize","end (a debt) by setting aside money","amertahyz"
"anguish","severe suffering","anggwish"
"animosity","strong dislike","anuhmositee"
"antidote","medicine used against a poison or a disease","antidoht"
"antithetical","direct opposing","antuhthetikuhl"
"apartheid","brutal racial discrimination","uhpahrthahyt"
"aplomb","self-confidence","uhplom"
"apostate","one who abandons long-held religious or political convictions","uhposteyt"
"apotheosis","deification glorification to godliness","uhpotheeohsis"
"appease","make quiet or calm","uhpeez"
"apprehensive","grasping understanding fear unhappy feeling about future","aprihensiv"
"apprise","give notice to inform","uhprahyz"
"approbation","approval","apruhbeyshuhn"
"apropos","by the way","apruhpoh"
"apt","well-suited; quick-witted","apt"
"arabesque","a complex ornate design","aruhbesk"
"arboreal","of connected with trees","ahrbawreeuhl"
"arcane","known or understood by very few","ahrkeyn"
"Archaic","marked by the characteristics of an earlier period","ahrkeyik"
"ardor","enthusiasm","ahrder"
"arduous","steep difficult ascent; laborious","ahrjoouhsor"
"argot","jargon; slang","ahrgoh"
"arrant","in the highest degree","aruhnt"
"arrogance","proud; superior manner of behaviour","aruhguhns"
"articulate","speak distinctly; connect by joints","adjective"
"ascend","go or come up","uhsend"
"ascertain","get to know","aserteyn"
"ascetic","practicing self-denial; austere; stark","uhsetik"
"ascribe","consider to be the origin of or belonging to","uhskrahyb"
"aseptic","surgically clean","uhseptik"
"asperity","roughness; harshness; ill temper; irritability","uhsperitee"
"aspersion","slander","uhspurzhuhn"
"assail","attack violently","uhseyl"
"assiduous","diligent hard-working; sedulous","uhsijoouhs"
"assuage","make something (pain desire) less","uhsweyj"
"asterisk","the mark * (e.g.. omitted letters)","astuhrisk"
"astringent","substance that shrinks","uhstrinjuhnt"
"astute","clever quick at seeing to get an advantage","uhstoot"
"atavistic","something reverting to an earlier type","atuhvistik"
"atonement","repayment death of Jesus","uhtohnmuhnt"
"attenuate","make thin; weaken; enervate","verbuhtenyooeyt"
"attune","bring into harmony","uhtoon"
"audacious","Bold","awdeyshuhs"
"augury","omenl sign","awgyuhree"
"august","majestic; venerable","awguhst"
"auspicious","favorable successful prosperous","awspishuhs"
"austere","severely moral and strict simple and plain","awsteer"
"auxiliary","helping; supporting","awgzilyuhree"
"aver","affirm; assert; prove; justify","uhvur"
"aversion","strong dislike","uhvurzhuhn"
"avid","eager; greedy","avid"
"avow","admit; declare openly","uhvou"
"baleful","harmful; ominous causing evil","beylfuhl"
"balk","obstacle purposely to get on the way of","bawk"
"bandy","discuss lightly or glibly; exchange (words) heatedly","bandee"
"baneful","causing harm or ruin; pernicious; destructive","beynfuhl"
"barrage","artificial obstacle built across a river","buhrahzh"
"barren","not good enough; unable to have young ones without value","baruhn"
"bask","in enjoy warmth and light","bask"
"beatify","to bless; make happy or ascribe a virtue to","beeatuhfahy"
"bedizen","to adorn especially in a cheap showy manner","bihdahyzuhn"
"beguile","mislead or delude; cheat; pass time","bihgahyl"
"belabor","beat hard","bihleyber"
"bellicose","inclined to fighting","belikohs"
"belligerent","(person nation) waging war","buhlijeruhnt"
"benefactor","person who has given help","benuhfakter"
"benevolence","wish or activity in doing good","buhnevuhluhns"
"benign","kind and gentle","bihnahyn"
"benison","blessing","benuhzuhn"
"bequest","arrangement to give something at death","bihkwest"
"berate","scold sharply","bihreyt"
"bereft","rob or dispossess of something (material)","bihreft"
"bewilder","puzzle; confuse","bihwilder"
"bigot","stubborn; narrow-minded person","biguht"
"bilge","bulge; the protuberance of a cask","bilj"
"blandishment","flattery; coaxing","blandishmuhnt"
"blandness","polite manner; comforting; uninteresting","bland"
"blatant","noisy and rough","bleytnt"
"blithe","cheerful; casual; carefree","blahyth"
"boggle","To hesitate as if in fear or doubt","boguhl"
"bogus","sham; counterfeit; not genuine","bohguhs"
"boisterous","noisy; restraint","boisteruhs"
"bolster","give greatly needed support","bohlster"
"boorish","crude; rude","boorish"
"braggart","boastful","bragert"
"brash","hasty rush; cheeky; saucy","brash"
"brass","yellow metal (mixing copper and zinc)","bras"
"brazen","made of brass","breyzuhn"
"breach","opening; broken place; breaking","breech"
"brittle","easily broken","britl"
"broach","bring up; announce; begin to talk about","brohch"
"brobdingnagian","gigantic","brobdingnageeuhn"
"brook","to tolerate; endure","brook"
